pet_13850, 3388, 喝咖啡, 睡覺
pet_1416, 3370, 咪醬, 醬料
pet_5965, 3358, 暴力, 衝突
pet_364, 3358, 暴力, 衝突
pet_1443, 3358, 暴力, 衝突
pet_13226, 3378, 床, 房間
pet_12824, 3378, 床, 房間
pet_11453, 3378, 床, 房間
pet_5773, 3378, 床, 房間
pet_12375, 3378, 床, 房間
pet_1482, 3378, 床, 房間
pet_11556, 3378, 床, 房間
pet_11314, 3378, 床, 房間
pet_11203, 3378, 床, 房間
pet_9632, 3378, 床, 房間
pet_9071, 3378, 床, 房間
pet_9311, 3378, 床, 房間
pet_7646, 3378, 床, 房間
pet_7496, 3378, 床, 房間
pet_6844, 3378, 床, 房間
pet_5734, 3378, 床, 房間
pet_3996, 3378, 床, 房間
pet_5634, 3378, 床, 房間
pet_4789, 3378, 床, 房間
pet_3922, 3378, 床, 房間
pet_4008, 3378, 床, 房間
pet_4000, 3378, 床, 房間
pet_1096, 3378, 床, 房間
pet_11453, 3378, 書桌, 房間
pet_12375, 3378, 書桌, 房間
pet_12203, 3378, 書桌, 房間
pet_6982, 3378, 書桌, 房間
pet_2395, 3378, 書桌, 房間
pet_1096, 3378, 書桌, 房間
pet_11203, 3378, 冷氣, 房間
pet_9691, 3378, 冷氣, 房間
pet_1096, 3378, 冷氣, 房間
pet_9311, 3378, 電風扇, 房間
pet_1096, 3378, 電風扇, 房間
pet_12375, 3378, 被子, 房間
pet_1096, 3378, 被子, 房間
pet_1368, 3357, 運動, 正妹
pet_1973, 3357, 運動, 正妹
pet_10319, 3354, 月經來, 肚子痛
pet_1368, 3354, 月經來, 肚子痛
pet_11874, 3354, 腸胃炎, 肚子痛
pet_1368, 3354, 腸胃炎, 肚子痛
pet_1368, 3367, 風, 空氣
pet_11510, 3368, 麵粉, 小麥
pet_1368, 3360, 洗澡, 洗屁股
pet_12878, 3380, 書, 讀書
pet_10584, 3380, 書, 讀書
pet_386, 3380, 書, 讀書
pet_12510, 3380, 書, 讀書
pet_12203, 3380, 書, 讀書
pet_10866, 3380, 書, 讀書
pet_9257, 3380, 書, 讀書
pet_9374, 3380, 書, 讀書
pet_8578, 3380, 書, 讀書
pet_8317, 3380, 書, 讀書
pet_7985, 3380, 書, 讀書
pet_5032, 3380, 書, 讀書
pet_12848, 3380, 眼睛, 讀書
pet_13349, 3380, 眼睛, 讀書
pet_11915, 3380, 眼睛, 讀書
pet_11874, 3380, 眼睛, 讀書
pet_10865, 3380, 眼睛, 讀書
pet_9566, 3380, 眼睛, 讀書
pet_13349, 3380, 眼鏡, 讀書
pet_386, 3380, 眼鏡, 讀書
pet_12116, 3380, 眼鏡, 讀書
pet_12092, 3380, 眼鏡, 讀書
pet_10866, 3380, 眼鏡, 讀書
pet_2639, 3380, 眼鏡, 讀書
pet_386, 3380, 電燈, 讀書
pet_6493, 3380, 電燈, 讀書
pet_6493, 3380, 電燈, 讀書
pet_8317, 3380, 電燈, 讀書
pet_237, 3388, 流口水, 吃飯
pet_10866, 3388, 流口水, 吃飯
pet_13972, 3377, 書本, 圖書館
pet_6982, 3377, 書本, 圖書館
pet_8060, 3356, 做愛, 愛
pet_1441, 3356, 做愛, 愛
pet_64, 3356, 想吃, 愛吃飯
pet_1441, 3356, 想吃, 愛吃飯
pet_9932, 3378, 牙刷, 浴室
pet_1457, 3378, 牙刷, 浴室
pet_13349, 3378, 毛巾, 浴室
pet_12824, 3378, 毛巾, 浴室
pet_1457, 3378, 毛巾, 浴室
pet_5887, 3370, 微生物, 生物
pet_1453, 3370, 微生物, 生物
pet_8307, 3378, 鬼, 宿舍
pet_712, 3378, 鬼, 宿舍
pet_11282, 3378, 舍監, 宿舍
pet_9781, 3378, 舍監, 宿舍
pet_14282, 3415, 肚子痛的時候, 看醫生
pet_229, 3384, 吃飯, 飽
pet_11562, 3384, 吃飯, 飽
pet_1794, 3384, 吃飯, 飽
pet_11477, 3384, 吃飯, 飽
pet_10546, 3384, 吃飯, 飽
pet_10496, 3384, 吃飯, 飽
pet_10496, 3384, 吃飯, 飽
pet_6056, 3370, 植物, 好東西
pet_1317, 3370, 植物, 好東西
pet_14259, 3356, 運動, 健康
pet_13509, 3356, 運動, 健康
pet_13688, 3356, 運動, 健康
pet_13838, 3356, 運動, 健康
pet_8581, 3356, 運動, 健康
pet_11108, 3356, 運動, 健康
pet_11587, 3356, 運動, 健康
pet_12513, 3356, 運動, 健康
pet_12834, 3356, 運動, 健康
pet_11385, 3356, 運動, 健康
pet_11221, 3356, 運動, 健康
pet_11221, 3356, 運動, 健康
pet_10570, 3356, 運動, 健康
pet_10227, 3356, 運動, 健康
pet_8844, 3356, 運動, 健康
pet_5771, 3356, 運動, 健康
pet_6242, 3356, 運動, 健康
pet_5372, 3356, 運動, 健康
pet_4867, 3356, 運動, 健康
pet_4916, 3356, 運動, 健康
pet_1963, 3356, 運動, 健康
pet_3164, 3356, 運動, 健康
pet_4106, 3356, 運動, 健康
pet_7167, 3409, 喜悅, 快樂
pet_8016, 3409, 開心, 快樂
pet_8016, 3409, 開心, 快樂
pet_4783, 3409, 開心, 快樂
pet_3362, 3378, 刀子, 廚房
pet_3362, 3378, 刀子, 廚房
pet_6872, 3378, 刀子, 廚房
pet_948, 3378, 刀子, 廚房
pet_948, 3378, 碗, 廚房
pet_8145, 3378, 菜, 廚房
pet_948, 3378, 菜, 廚房
pet_9071, 3383, 廚房, 炒菜
pet_8403, 3383, 廚房, 炒菜
pet_3071, 3383, 廚房, 炒菜
pet_1460, 3383, 廚房, 炒菜
pet_12510, 3383, 媽媽, 炒菜
pet_11534, 3383, 媽媽, 炒菜
pet_6830, 3383, 媽媽, 炒菜
pet_1460, 3383, 媽媽, 炒菜
pet_12510, 3383, 廚師, 炒菜
pet_1460, 3383, 廚師, 炒菜
pet_10369, 3380, 力氣, 嗯嗯
pet_1353, 3380, 力氣, 嗯嗯
pet_13405, 3386, 上廁所, 大便
pet_11710, 3386, 上廁所, 大便
pet_10832, 3386, 上廁所, 大便
pet_11286, 3386, 上廁所, 大便
pet_3567, 3386, 上廁所, 大便
pet_11286, 3386, 上廁所, 尿尿
pet_3567, 3386, 上廁所, 尿尿
pet_327, 3386, 上廁所, 尿尿
pet_7794, 3367, 海角七億, 茂伯
pet_1369, 3367, 海角七億, 茂伯
pet_5240, 3367, 御宅族, 宅男
pet_1369, 3367, 御宅族, 宅男
pet_6110, 3415, 唸書的時候, 吃東西
pet_1369, 3415, 唸書的時候, 吃東西
pet_1367, 3378, 小強, 電影院
pet_2214, 3378, 小強, 電影院
pet_12722, 3378, 爆米花, 電影院
pet_11915, 3378, 爆米花, 電影院
pet_11556, 3378, 爆米花, 電影院
pet_10832, 3378, 爆米花, 電影院
pet_7973, 3378, 爆米花, 電影院
pet_8055, 3378, 爆米花, 電影院
pet_6403, 3378, 爆米花, 電影院
pet_5025, 3378, 爆米花, 電影院
pet_4510, 3399, 鳳梨, 我
pet_475, 3399, 鳳梨, 我
pet_4510, 3399, 鳳梨, 你
pet_475, 3399, 鳳梨, 你
pet_4510, 3399, 鳳梨, 他
pet_475, 3399, 鳳梨, 他
pet_1373, 3378, 狗骨頭, 狗屋
pet_13387, 3389, 吃喉糖, 唱歌
pet_13707, 3389, 吃喉糖, 唱歌
pet_1464, 3389, 吃喉糖, 唱歌
pet_1335, 3365, 讀書, 生活
pet_2900, 3388, 開電視, 吃飯
pet_11556, 3370, 思念, 情感
pet_386, 3370, 思念, 情感
pet_4261, 3370, 思念, 情感
pet_8175, 3357, 喜悅, 悲傷
pet_1416, 3357, 喜悅, 悲傷
pet_12821, 3378, 裁判, 棒球場
pet_10832, 3378, 裁判, 棒球場
pet_1436, 3378, 裁判, 棒球場
pet_10739, 3378, 教練, 棒球場
pet_1436, 3378, 教練, 棒球場
pet_10593, 3354, 工作, 快樂
pet_8040, 3354, 工作, 快樂
pet_3223, 3354, 工作, 快樂
pet_1460, 3354, 工作, 快樂
pet_13603, 3354, 工作, 有錢
pet_5097, 3354, 工作, 有錢
pet_3456, 3354, 工作, 有錢
pet_1460, 3354, 工作, 有錢
pet_9585, 3354, 工作, 開心
pet_7151, 3354, 工作, 開心
pet_10936, 3368, 炸雞, 雞肉
pet_5227, 3368, 炸雞, 雞肉
pet_5264, 3354, 吃飯, 變肥
pet_1467, 3354, 吃飯, 變肥
pet_4591, 3354, 吃飯, 想大便
pet_1467, 3354, 吃飯, 想大便
pet_7094, 3354, 吃飯, 很快樂
pet_6435, 3354, 吃飯, 很快樂
pet_1162, 3354, 吃飯, 很快樂
pet_2392, 3354, 吃飯, 很快樂
pet_7438, 3368, 巧克力, 糖
pet_12459, 3415, 投票日, 去投票
pet_11262, 3415, 投票日, 去投票
pet_5058, 3415, 投票日, 去投票
pet_5381, 3415, 選總統, 去投票
pet_11753, 3355, 罵人, 被打
pet_1066, 3355, 罵人, 被打
pet_13215, 3355, 罵人, 殺人
pet_1066, 3355, 罵人, 殺人
pet_93, 3367, 電腦, 積體電路
pet_1066, 3367, 電腦, 積體電路
pet_9355, 3383, 情人, 抱抱
pet_3880, 3383, 情人, 抱抱
pet_1066, 3383, 情人, 抱抱
pet_3481, 3355, 做愛, 得病
pet_1066, 3355, 做愛, 得病
pet_11908, 3387, 煮飯, 吃飯
pet_10891, 3387, 煮飯, 吃飯
pet_1066, 3387, 煮飯, 吃飯
pet_12822, 3357, 金錢, 財富
pet_12105, 3357, 金錢, 財富
pet_11635, 3357, 金錢, 財富
pet_11635, 3357, 金錢, 財富
pet_1466, 3357, 金錢, 財富
pet_4238, 3357, 金錢, 問題
pet_1466, 3357, 金錢, 問題
pet_6352, 3366, 內褲, 棉花
pet_3268, 3366, 內褲, 棉花
pet_1066, 3366, 內褲, 棉花
pet_7997, 3377, 大便, 化糞池
pet_5782, 3377, 大便, 化糞池
pet_13805, 3366, 衣服, 皮
pet_10330, 3366, 衣服, 皮
pet_2503, 3366, 衣服, 皮
pet_28, 3389, 睡覺, 飽
pet_11463, 3389, 睡覺, 飽
pet_2981, 3389, 睡覺, 飽
pet_5586, 3389, 睡覺, 飽
pet_750, 3389, 睡覺, 飽
pet_2043, 3389, 睡覺, 飽
pet_2981, 3389, 運動, 飽
pet_750, 3389, 運動, 飽
pet_11463, 3389, 休息, 飽
pet_6517, 3389, 休息, 飽
pet_9061, 3370, 愛情, 病
pet_7350, 3370, 愛情, 病
pet_7929, 3370, 愛情, 病
pet_971, 3370, 愛情, 病
pet_7038, 3370, 愛情, 病
pet_2695, 3370, 愛情, 病
pet_5424, 3370, 愛情, 病
pet_2695, 3370, 愛情, 病
pet_7266, 3378, 餅乾, 雜貨店裡
pet_5540, 3378, 餅乾, 雜貨店裡
pet_1454, 3378, 餅乾, 雜貨店裡
pet_12840, 3378, 雲, 天上
pet_12834, 3378, 雲, 天上
pet_9718, 3378, 雲, 天上
pet_10353, 3378, 雲, 天上
pet_1061, 3378, 雲, 天上
pet_12486, 3378, 飛機, 天上
pet_10903, 3378, 飛機, 天上
pet_9718, 3378, 飛機, 天上
pet_7501, 3378, 飛機, 天上
pet_12486, 3378, 鳥, 天上
pet_7683, 3378, 鳥, 天上
pet_12631, 3356, 睡覺, 起床
pet_12193, 3356, 睡覺, 起床
pet_3481, 3356, 睡覺, 起床
pet_4258, 3356, 睡覺, 起床
pet_1061, 3356, 睡覺, 起床
pet_2316, 3356, 睡覺, 起床
pet_64, 3356, 睡覺, 累
pet_1061, 3356, 睡覺, 累
pet_139, 3356, 睡覺, 累
pet_7851, 3356, 睡覺, 吃飯
pet_6503, 3356, 睡覺, 吃飯
pet_894, 3387, 洗澡, 女朋友
pet_2695, 3387, 健身, 女朋友
pet_894, 3387, 健身, 女朋友
pet_13008, 3370, 鉛筆, 筆
pet_12730, 3370, 鉛筆, 筆
pet_7167, 3370, 鉛筆, 筆
pet_11905, 3370, 鉛筆, 筆
pet_10903, 3370, 鉛筆, 筆
pet_9829, 3370, 鉛筆, 筆
pet_7370, 3370, 鉛筆, 筆
pet_8822, 3370, 鉛筆, 筆
pet_1764, 3370, 鉛筆, 筆
pet_6145, 3389, 睡覺, 洗澡時
pet_1471, 3389, 睡覺, 洗澡時
pet_8175, 3412, 發芽, 澆水
pet_6145, 3412, 發芽, 澆水
pet_5199, 3412, 發芽, 澆水
pet_1436, 3412, 發芽, 澆水
pet_13247, 3356, 做愛, 快樂
pet_10789, 3356, 做愛, 快樂
pet_2557, 3356, 做愛, 快樂
pet_4002, 3356, 做愛, 快樂
pet_1035, 3356, 做愛, 快樂
pet_7482, 3399, 正妹, 他
pet_10184, 3399, 我, 他
pet_4783, 3399, 我, 他
pet_9257, 3399, 我, 他
pet_7173, 3365, 腳指頭, 腳
pet_5180, 3365, 腳指頭, 腳
pet_1317, 3365, 腳指頭, 腳
pet_8758, 3386, 做愛, 爽
pet_8175, 3386, 做愛, 爽
pet_8241, 3386, 做愛, 爽
pet_7666, 3386, 做愛, 爽
pet_1472, 3386, 做愛, 爽
pet_1472, 3386, 做愛, 發洩
pet_8344, 3389, 咬回去, 咬你
pet_1069, 3389, 咬回去, 咬你
pet_529, 3367, 音響, 機械
pet_841, 3353, 想洗澡時, 卸妝
pet_12322, 3370, 杯子, 容器
pet_12892, 3370, 杯子, 容器
pet_10701, 3370, 杯子, 容器
pet_4116, 3370, 杯子, 容器
pet_1433, 3370, 杯子, 容器
pet_5102, 3415, 肚子餓的時候, 吃東西
pet_3135, 3415, 肚子餓的時候, 吃東西
pet_1472, 3415, 肚子餓的時候, 吃東西
pet_5032, 3404, 愛, 玫瑰
pet_1472, 3404, 愛, 玫瑰
pet_6517, 3366, 汽車, 鐵
pet_11721, 3366, 汽車, 鐵
pet_11482, 3366, 汽車, 鐵
pet_10963, 3366, 汽車, 鐵
pet_7313, 3366, 汽車, 橡膠
pet_1472, 3366, 汽車, 橡膠
pet_10963, 3366, 汽車, 鋁
pet_3087, 3366, 汽車, 鋼
pet_7037, 3366, 笨蛋, 白痴
pet_892, 3366, 笨蛋, 白痴
pet_5009, 3370, 主人, 寵物
pet_892, 3370, 主人, 寵物
pet_7328, 3357, 讀書, 近視
pet_2912, 3357, 讀書, 近視
pet_894, 3357, 讀書, 近視
pet_894, 3357, 讀書, 睡意
pet_11333, 3360, 跌倒, 站起來
pet_1401, 3360, 跌倒, 站起來
pet_5965, 3412, 跑步, 喘
pet_10832, 3412, 跑步, 喘
pet_263, 3412, 跑步, 喘
pet_4031, 3412, 跑步, 喘
pet_790, 3412, 運動, 喘
pet_11480, 3412, 運動, 喘
pet_229, 3412, 運動, 喘
pet_229, 3412, 運動, 喘
pet_6982, 3415, 睡覺的時候, 作夢
pet_794, 3415, 睡覺的時候, 作夢
pet_10197, 3353, 不高興, 打人
pet_10739, 3353, 不高興, 打人
pet_6110, 3353, 不高興, 打人
pet_425, 3353, 不高興, 打人
pet_794, 3353, 不高興, 打人
pet_11791, 3354, 睡覺, 爽
pet_13830, 3354, 睡覺, 爽
pet_10488, 3354, 睡覺, 爽
pet_9353, 3354, 睡覺, 爽
