pet_2401, 3377, 鳥, 天空
pet_1, 3373, 樹根, 樹
pet_4953, 3369, 玻璃瓶, 玻璃
pet_7017, 3369, 窗戶, 玻璃
pet_5090, 3369, 窗戶, 玻璃
pet_7017, 3369, 玻璃瓶, 玻璃
pet_5240, 3369, 玻璃瓶, 玻璃
pet_5564, 3369, 玻璃瓶, 玻璃
pet_10, 3369, 玻璃瓶, 玻璃
pet_5090, 3369, 燈泡, 玻璃
pet_10, 3369, 燈泡, 玻璃
pet_13527, 3378, 樹, 公園
pet_13460, 3378, 樹, 公園
pet_6537, 3378, 樹, 公園
pet_12380, 3378, 樹, 公園
pet_12486, 3378, 樹, 公園
pet_2510, 3378, 樹, 公園
pet_12794, 3378, 樹, 公園
pet_9454, 3378, 樹, 公園
pet_8670, 3378, 樹, 公園
pet_9635, 3378, 樹, 公園
pet_8758, 3378, 樹, 公園
pet_9335, 3378, 樹, 公園
pet_5842, 3378, 樹, 公園
pet_5029, 3378, 樹, 公園
pet_2061, 3378, 樹, 公園
pet_2358, 3378, 樹, 公園
pet_4008, 3378, 樹, 公園
pet_10, 3378, 樹, 公園
pet_7, 3378, 樹, 公園
pet_12794, 3378, 椅子, 公園
pet_1218, 3378, 樹, 公園
pet_13101, 3378, 花, 公園
pet_9829, 3378, 花, 公園
pet_9335, 3378, 花, 公園
pet_5029, 3378, 花, 公園
pet_2358, 3378, 花, 公園
pet_4008, 3378, 花, 公園
pet_4877, 3378, 花, 公園
pet_6537, 3378, 椅子, 公園
pet_12486, 3378, 椅子, 公園
pet_12119, 3378, 椅子, 公園
pet_11151, 3378, 椅子, 公園
pet_8670, 3378, 椅子, 公園
pet_9335, 3378, 椅子, 公園
pet_10, 3378, 椅子, 公園
pet_7, 3378, 椅子, 公園
pet_13101, 3378, 草, 公園
pet_12794, 3378, 草, 公園
pet_9454, 3378, 草, 公園
pet_5029, 3378, 草, 公園
pet_2358, 3378, 草, 公園
pet_10, 3378, 草, 公園
pet_4432, 3378, 老虎, 山裡
pet_601, 3377, 學生, 學校
pet_12840, 3377, 學生, 學校
pet_12475, 3377, 學生, 學校
pet_11555, 3377, 學生, 學校
pet_12768, 3377, 學生, 學校
pet_12486, 3377, 學生, 學校
pet_7895, 3377, 學生, 學校
pet_12124, 3377, 學生, 學校
pet_11915, 3377, 學生, 學校
pet_11534, 3377, 學生, 學校
pet_10922, 3377, 學生, 學校
pet_13185, 3377, 學生, 學校
pet_12363, 3377, 學生, 學校
pet_12892, 3377, 學生, 學校
pet_11536, 3377, 學生, 學校
pet_11085, 3377, 學生, 學校
pet_11705, 3377, 學生, 學校
pet_9788, 3377, 學生, 學校
pet_10269, 3377, 學生, 學校
pet_11344, 3377, 學生, 學校
pet_99, 3377, 學生, 學校
pet_11133, 3377, 學生, 學校
pet_10842, 3377, 學生, 學校
pet_10217, 3377, 學生, 學校
pet_176, 3377, 學生, 學校
pet_8939, 3377, 學生, 學校
pet_9090, 3377, 學生, 學校
pet_8669, 3377, 學生, 學校
pet_8951, 3377, 學生, 學校
pet_7367, 3377, 學生, 學校
pet_11608, 3356, 生病, 不舒服
pet_11156, 3356, 生病, 不舒服
pet_9490, 3356, 生病, 不舒服
pet_8314, 3356, 生病, 不舒服
pet_8264, 3356, 生病, 不舒服
pet_6191, 3356, 生病, 不舒服
pet_3684, 3356, 生病, 不舒服
pet_1, 3356, 生病, 不舒服
pet_1649, 3356, 生病, 不舒服
pet_12540, 3356, 吃太飽, 不舒服
pet_1, 3356, 吃太飽, 不舒服
pet_12486, 3377, 老師, 學校
pet_12116, 3377, 老師, 學校
pet_13440, 3387, 賺錢, 錢
pet_171, 3390, 人, 狗
pet_13387, 3386, 睡覺, 休息
pet_11513, 3377, 老師, 學校
pet_13033, 3385, 流口水, 肚子餓
pet_11370, 3377, 老師, 學校
pet_12481, 3389, 大叫, 失戀
pet_28, 3377, 老師, 學校
pet_13247, 3377, 老師, 學校
pet_601, 3377, 老師, 學校
pet_12840, 3377, 老師, 學校
pet_10922, 3377, 老師, 學校
pet_13185, 3377, 老師, 學校
pet_13302, 3377, 老師, 學校
pet_12475, 3377, 老師, 學校
pet_12892, 3377, 老師, 學校
pet_7845, 3377, 老師, 學校
pet_11555, 3377, 老師, 學校
pet_12768, 3377, 老師, 學校
pet_11453, 3377, 老師, 學校
pet_10211, 3377, 老師, 學校
pet_7895, 3377, 老師, 學校
pet_12134, 3377, 老師, 學校
pet_12124, 3377, 老師, 學校
pet_11194, 3377, 老師, 學校
pet_11915, 3377, 老師, 學校
pet_11925, 3377, 老師, 學校
pet_9168, 3377, 老師, 學校
pet_11505, 3377, 老師, 學校
pet_11282, 3377, 老師, 學校
pet_11536, 3377, 老師, 學校
pet_11705, 3377, 老師, 學校
pet_9788, 3377, 老師, 學校
pet_10269, 3377, 老師, 學校
pet_11344, 3377, 老師, 學校
pet_6356, 3377, 老師, 學校
pet_11133, 3377, 老師, 學校
pet_10842, 3377, 老師, 學校
pet_9670, 3377, 老師, 學校
pet_11018, 3377, 老師, 學校
pet_10824, 3377, 老師, 學校
pet_10641, 3377, 老師, 學校
pet_10217, 3377, 老師, 學校
pet_10663, 3377, 老師, 學校
pet_10593, 3377, 老師, 學校
pet_13707, 3378, 大象, 動物園
pet_9257, 3377, 老師, 學校
pet_9805, 3377, 老師, 學校
pet_9635, 3377, 老師, 學校
pet_9436, 3377, 老師, 學校
pet_9360, 3377, 老師, 學校
pet_8939, 3377, 老師, 學校
pet_9090, 3377, 老師, 學校
pet_7367, 3377, 老師, 學校
pet_3686, 3377, 老師, 學校
pet_8137, 3377, 老師, 學校
pet_3436, 3377, 老師, 學校
pet_7495, 3377, 老師, 學校
pet_7274, 3377, 老師, 學校
pet_6143, 3377, 老師, 學校
pet_2695, 3377, 老師, 學校
pet_4440, 3377, 老師, 學校
pet_6232, 3377, 老師, 學校
pet_28, 3377, 校長, 學校
pet_13247, 3377, 校長, 學校
pet_601, 3377, 校長, 學校
pet_12840, 3377, 校長, 學校
pet_13069, 3377, 校長, 學校
pet_12475, 3377, 校長, 學校
pet_7845, 3377, 校長, 學校
pet_11555, 3377, 校長, 學校
pet_11453, 3377, 校長, 學校
pet_10211, 3377, 校長, 學校
pet_12116, 3377, 校長, 學校
pet_12124, 3377, 校長, 學校
pet_11194, 3377, 校長, 學校
pet_11915, 3377, 校長, 學校
pet_11534, 3377, 校長, 學校
pet_11536, 3377, 校長, 學校
pet_10269, 3377, 校長, 學校
pet_11133, 3377, 校長, 學校
pet_11018, 3377, 校長, 學校
pet_10217, 3377, 校長, 學校
pet_8758, 3391, 沒有錢的人, 錢
pet_10, 3391, 沒有錢的人, 錢
pet_13376, 3353, 開心, 唱歌
pet_12280, 3353, 開心, 唱歌
pet_10233, 3353, 開心, 唱歌
pet_231, 3353, 開心, 唱歌
pet_11021, 3353, 開心, 唱歌
pet_11097, 3353, 開心, 唱歌
pet_3624, 3353, 開心, 唱歌
pet_4429, 3353, 開心, 唱歌
pet_8939, 3353, 開心, 唱歌
pet_7556, 3353, 開心, 唱歌
pet_6435, 3353, 開心, 唱歌
pet_5049, 3353, 開心, 唱歌
pet_2087, 3353, 開心, 唱歌
pet_4960, 3353, 開心, 唱歌
pet_540, 3353, 開心, 唱歌
pet_64, 3353, 開心, 唱歌
pet_13376, 3353, 高興, 唱歌
pet_2657, 3353, 高興, 唱歌
pet_13641, 3353, 快樂, 唱歌
pet_12302, 3353, 快樂, 唱歌
pet_13376, 3353, 快樂, 唱歌
pet_9667, 3353, 快樂, 唱歌
pet_6258, 3353, 快樂, 唱歌
pet_540, 3353, 快樂, 唱歌
pet_2657, 3353, 快樂, 唱歌
pet_259, 3353, 快樂, 唱歌
pet_2311, 3353, 快樂, 唱歌
pet_10, 3353, 快樂, 唱歌
pet_749, 3353, 快樂, 唱歌
pet_12302, 3353, 無聊, 唱歌
pet_12552, 3353, 無聊, 唱歌
pet_7000, 3353, 無聊, 唱歌
pet_7556, 3353, 無聊, 唱歌
pet_7501, 3353, 無聊, 唱歌
pet_425, 3353, 無聊, 唱歌
pet_6695, 3353, 無聊, 唱歌
pet_2087, 3353, 無聊, 唱歌
pet_10663, 3377, 校長, 學校
pet_8939, 3377, 校長, 學校
pet_6982, 3356, 累, 想睡覺
pet_10, 3392, 人, 痛苦
pet_10975, 3356, 累, 想睡覺
pet_13208, 3415, 聖誕節, 吃聖誕大餐
pet_3481, 3415, 聖誕節, 吃聖誕大餐
pet_9374, 3392, 人, 痛苦
pet_5666, 3392, 人, 痛苦
pet_8758, 3395, 上班族, 上班
pet_8268, 3395, 上班族, 上班
pet_7384, 3395, 上班族, 上班
pet_7440, 3395, 上班族, 上班
pet_7051, 3395, 上班族, 上班
pet_7552, 3395, 人民, 政客
pet_10, 3395, 人民, 政客
pet_10546, 3356, 累, 想睡覺
pet_864, 3356, 累, 想睡覺
pet_5162, 3356, 累, 想睡覺
pet_2652, 3356, 累, 想睡覺
pet_13578, 3415, 聖誕節, 吃聖誕大餐
pet_11915, 3415, 聖誕節, 吃聖誕大餐
pet_11399, 3415, 聖誕節, 吃聖誕大餐
pet_9778, 3415, 聖誕節, 吃聖誕大餐
pet_2907, 3415, 聖誕節, 吃聖誕大餐
pet_7, 3415, 聖誕節, 吃聖誕大餐
pet_13270, 3415, 聖誕節, 逛街
pet_11704, 3415, 聖誕節, 逛街
pet_7, 3415, 聖誕節, 逛街
pet_12783, 3393, 人, 老虎
pet_12171, 3393, 人, 老虎
pet_12566, 3385, 流口水, 肚子餓
pet_11644, 3385, 流口水, 肚子餓
pet_11337, 3385, 流口水, 肚子餓
pet_8885, 3385, 流口水, 肚子餓
pet_1, 3385, 流口水, 肚子餓
pet_2061, 3385, 流口水, 肚子餓
pet_8758, 3387, 有錢, 美女
pet_10217, 3387, 有錢, 美女
pet_5189, 3387, 有錢, 美女
pet_12998, 3387, 錢, 豪宅
pet_8379, 3387, 錢, 豪宅
pet_7432, 3387, 錢, 豪宅
pet_11, 3387, 錢, 豪宅
pet_10673, 3392, 學生, 寫作業
pet_10890, 3392, 學生, 寫作業
pet_10957, 3392, 學生, 寫作業
pet_11359, 3392, 學生, 寫作業
pet_10842, 3392, 學生, 寫作業
pet_5667, 3392, 學生, 寫作業
pet_4701, 3392, 學生, 寫作業
pet_17, 3392, 學生, 寫作業
pet_155, 3392, 學生, 寫作業
pet_1093, 3392, 學生, 寫作業
pet_9027, 3392, 學生, 唸書
pet_6060, 3392, 學生, 唸書
pet_8492, 3392, 學生, 唸書
pet_4478, 3392, 學生, 唸書
pet_3101, 3392, 學生, 唸書
pet_10959, 3393, 人, 老虎
pet_10891, 3393, 人, 老虎
pet_10890, 3393, 人, 老虎
pet_864, 3358, 吃檳榔, 口腔癌
pet_10842, 3358, 吃檳榔, 口腔癌
pet_12435, 3358, 吃檳榔, 口腔癌
pet_11834, 3358, 吃檳榔, 口腔癌
pet_11914, 3358, 吃檳榔, 口腔癌
pet_12731, 3358, 吃檳榔, 口腔癌
pet_12300, 3358, 吃檳榔, 口腔癌
pet_12040, 3358, 吃檳榔, 口腔癌
pet_10546, 3358, 吃檳榔, 口腔癌
pet_11186, 3358, 吃檳榔, 口腔癌
pet_11108, 3358, 吃檳榔, 口腔癌
pet_10269, 3358, 吃檳榔, 口腔癌
pet_10686, 3358, 吃檳榔, 口腔癌
pet_11211, 3358, 吃檳榔, 口腔癌
pet_3694, 3358, 吃檳榔, 口腔癌
pet_9670, 3358, 吃檳榔, 口腔癌
pet_9027, 3358, 吃檳榔, 口腔癌
pet_11054, 3358, 吃檳榔, 口腔癌
pet_11097, 3358, 吃檳榔, 口腔癌
pet_10329, 3358, 吃檳榔, 口腔癌
pet_10369, 3358, 吃檳榔, 口腔癌
pet_10184, 3358, 吃檳榔, 口腔癌
pet_10521, 3358, 吃檳榔, 口腔癌
pet_9632, 3358, 吃檳榔, 口腔癌
pet_7951, 3358, 吃檳榔, 口腔癌
pet_7668, 3358, 吃檳榔, 口腔癌
pet_6062, 3358, 吃檳榔, 口腔癌
pet_7556, 3358, 吃檳榔, 口腔癌
pet_6247, 3358, 吃檳榔, 口腔癌
pet_14, 3353, 被拋棄, 哭
pet_13401, 3353, 生病, 哭
pet_14, 3353, 生病, 哭
pet_11786, 3353, 看電影, 哭
pet_7880, 3353, 看電影, 哭
pet_14, 3353, 看電影, 哭
pet_13208, 3354, 唸書, 變聰明
pet_11874, 3354, 唸書, 變聰明
pet_8966, 3354, 唸書, 變聰明
pet_2907, 3354, 唸書, 變聰明
pet_14, 3354, 唸書, 變聰明
pet_1465, 3354, 唸書, 變聰明
pet_11874, 3354, 唸書, 長知識
pet_7851, 3354, 唸書, 長知識
pet_5298, 3354, 唸書, 長知識
pet_14, 3354, 唸書, 住豪宅
pet_11915, 3385, 笑, 開心
pet_12731, 3385, 笑, 開心
pet_12337, 3385, 笑, 開心
pet_11269, 3385, 笑, 開心
pet_11945, 3353, 被拋棄, 哭
pet_6380, 3393, 原住民, 土石流
pet_14, 3393, 原住民, 土石流
pet_12148, 3354, 唸書, 變聰明
pet_5771, 3354, 唸書, 變聰明
pet_12380, 3385, 笑, 開心
pet_11987, 3385, 笑, 開心
pet_11722, 3385, 笑, 開心
pet_11513, 3385, 笑, 開心
pet_11405, 3385, 笑, 開心
pet_10936, 3385, 笑, 開心
pet_11538, 3385, 笑, 開心
pet_10023, 3385, 笑, 開心
pet_11085, 3385, 笑, 開心
pet_9880, 3385, 笑, 開心
pet_7845, 3385, 笑, 開心
pet_8998, 3385, 笑, 開心
pet_7973, 3385, 笑, 開心
pet_7051, 3385, 笑, 開心
pet_4750, 3385, 笑, 開心
pet_7384, 3385, 笑, 開心
pet_5177, 3385, 笑, 開心
pet_12311, 3378, 老虎, 動物園
pet_7845, 3378, 老虎, 動物園
pet_10353, 3378, 老虎, 動物園
pet_5602, 3385, 笑, 開心
pet_4783, 3385, 笑, 開心
pet_15665, 3378, 動物, 動物園
pet_15637, 3387, 賺錢, 錢
pet_15504, 3354, 運動, 健康
pet_15473, 3366, 蛋糕, 雞蛋
pet_14476, 3354, 吃飯, 幸福
pet_15465, 3391, 學生, 放颱風假
pet_15465, 3391, 上班族, 放颱風假
pet_15341, 3388, 聽音樂, 思考
pet_10320, 3415, 吃飯, 看電視
pet_15486, 3380, 杯子, 喝水
pet_15142, 3412, 生病, 吃藥
pet_14568, 3357, 知識, 財富
pet_14568, 3378, 教官, 學校
pet_15633, 3391, 妹妹, 糖果
pet_15637, 3387, 工作, 錢
pet_14568, 3366, 球棒, 鋁
pet_15658, 3387, 工作, 錢
pet_15142, 3354, 吃飯, 飽
pet_4206, 3354, 吃飯, 飽
pet_11459, 3356, 生病, 吃藥
pet_1652, 3412, 快樂, 大笑
pet_15296, 3412, 睡覺, 打呼
pet_14505, 3412, 睡覺, 翻身
pet_15296, 3412, 睡覺, 說夢話
pet_14505, 3412, 睡覺, 踢被子
pet_15542, 3360, 吃飯, 洗手
pet_15465, 3360, 吃飯, 洗手
pet_15465, 3360, 吃飯, 煮飯
pet_15542, 3360, 吃飯, 禱告
pet_15465, 3360, 吃飯, 拿碗
pet_15542, 3360, 吃飯, 拿筷子
pet_15035, 3380, 電腦, 打電動
pet_15656, 3412, 開心, 笑
pet_15417, 3355, 回家, 看電視
pet_14033, 3386, 洗澡, 乾淨
pet_15637, 3380, 衛生紙, 吃飯
pet_15372, 3380, 電話卡, 打電話
pet_15372, 3380, 手機, 打電話
pet_15637, 3380, 手, 吃飯
pet_14568, 3380, 信用卡, 買東西
pet_15637, 3365, 頭, 身體
pet_15234, 3415, 選舉日, 睡覺
pet_15486, 3360, 吃東西, 拿碗筷
pet_508, 3360, 吃東西, 拿碗筷
pet_15637, 3380, 湯匙, 吃飯
pet_15637, 3380, 碗, 吃飯
pet_14282, 3412, 看電影, 吃爆米花
pet_14282, 3412, 看電影, 喝可樂
pet_15486, 3380, 嘴, 喝水
pet_15415, 3395, 老婆, 外遇
pet_15602, 3380, 衛生紙, 哭
pet_15035, 3412, 痛, 擦藥
pet_49, 3412, 痛, 擦藥
pet_15663, 3377, 火車, 火車站
pet_15656, 3412, 開心, 唱歌
pet_386, 3389, 吃飯, 覺得餓
pet_15606, 3380, 鍋子, 炒飯
pet_14266, 3380, 鍋子, 炒飯
pet_5459, 3380, 鍋子, 炒飯
pet_5459, 3380, 鏟子, 炒飯
pet_15577, 3354, 讀書, 疲勞
pet_15633, 3370, 女人, 動物
pet_15577, 3354, 讀書, 快樂
pet_14573, 3358, 吸毒, 上癮
pet_15143, 3365, 鞋帶, 鞋子
pet_15535, 3365, 鞋帶, 鞋子
pet_15417, 3380, 潤髮乳, 洗澡
pet_15417, 3409, 白色, 純潔
pet_13626, 3360, 洗澡, 放熱水
pet_15035, 3360, 出門, 開門
pet_4429, 3360, 出門, 穿鞋子
pet_4429, 3360, 出門, 開門
pet_15397, 3353, 看電視, 大笑
pet_15387, 3370, 男人, 生物
pet_14568, 3384, 教授, 當人
pet_15417, 3383, 傭人, 煮飯
pet_14147, 3383, 傭人, 煮飯
pet_14818, 3356, 逛街, 疲勞
pet_601, 3356, 逛街, 疲勞
pet_14573, 3378, 企鵝, 南極
pet_6922, 3378, 企鵝, 南極
pet_14506, 3383, 人, 運動
pet_15372, 3412, 睡覺, 蓋被子
pet_601, 3388, 買化妝品, 化妝
pet_15077, 3380, 電話, 找人
pet_14573, 3380, 衛生紙, 尿尿
pet_883, 3391, 很累, 睡覺
pet_14568, 3391, 晚上, 睡覺
pet_15586, 3355, 喝水, 尿尿
pet_13241, 3365, 膝蓋, 人體
pet_11459, 3370, 電腦, 工具
pet_14568, 3365, 湯匙, 吃飯
pet_15465, 3365, 湯匙, 吃飯
pet_15577, 3412, 口渴, 喝水
pet_7167, 3353, 冬天, 睡覺
pet_15576, 3380, 衛生紙, 尿尿
pet_15551, 3389, 跳舞, 快樂
pet_15465, 3388, 肚子餓, 吃泡麵
pet_908, 3388, 肚子餓, 吃泡麵
pet_15458, 3412, 想睡覺, 打哈欠
pet_14282, 3383, 貓, 吃東西
pet_15579, 3360, 無聊, 上PTT
pet_15465, 3354, 口渴, 喝水
pet_13722, 3383, 貓咪, 抓老鼠
pet_15556, 3383, 貓咪, 抓老鼠
pet_14568, 3357, 念書, 黃金屋
pet_1234, 3357, 念書, 黃金屋
pet_10320, 3366, 杯子, 木頭
pet_15637, 3388, 換泳衣, 游泳
pet_14889, 3377, 走失的小孩, 火車站
pet_15003, 3375, 小貓, 花園
pet_15417, 3355, 回家, 睡覺
pet_9439, 3377, 球場, 操場
pet_1513, 3377, 球場, 操場
pet_11459, 3412, 很累, 睡覺
pet_10669, 3412, 很累, 睡覺
pet_15486, 3380, 飲水機, 喝水
pet_15551, 3389, 分享, 快樂
pet_4634, 3388, 打瞌睡, 睡覺
pet_15551, 3380, 沙發, 睡覺
pet_13626, 3360, 洗澡, 擠沐浴乳
pet_4440, 3360, 炒菜, 買菜
pet_15577, 3360, 炒菜, 洗菜
pet_4440, 3360, 炒菜, 洗菜
pet_15577, 3360, 炒菜, 開瓦斯
pet_15491, 3360, 炒菜, 開瓦斯
pet_4440, 3360, 炒菜, 熱鍋
pet_15491, 3360, 炒菜, 熱鍋
pet_15049, 3357, 工作, 錢財
pet_15637, 3391, 小嬰兒, 媽媽
pet_15205, 3360, 脫衣服, 解釦子
pet_15219, 3356, 跌倒, 哭
pet_15678, 3378, 相機, 手機裡
pet_1474, 3378, 相機, 手機裡
pet_15678, 3378, 音樂, 手機裡
pet_15286, 3365, 舌頭, 身體
pet_15417, 3360, 出門, 關門
pet_15061, 3365, 嘴, 臉
pet_15482, 3354, 吃東西, 開心
pet_15637, 3354, 吃東西, 變胖
pet_15142, 3354, 吃飯, 花錢
pet_10320, 3366, 杯子, 陶瓷
pet_14568, 3383, 貓咪, 撒嬌
pet_1652, 3388, 看電視, 聽音樂
pet_14568, 3377, 球鞋, 鞋櫃
pet_15465, 3383, 雞, 被吃
pet_15061, 3358, 喝酒, 嘔吐
pet_15486, 3360, 運動, 準備水
pet_15486, 3360, 運動, 準備毛巾
pet_1580, 3360, 運動, 準備毛巾
pet_15594, 3412, 出門, 穿衣服
pet_14568, 3354, 打球, 快樂
pet_15637, 3391, 媽媽, 小孩
pet_11459, 3370, 電腦, 玩具
pet_15397, 3353, 看電視, 轉台
pet_15397, 3353, 看電視, 吃零食
pet_15562, 3360, 脫衣服, 解釦子
pet_14573, 3380, 馬桶, 尿尿
pet_15465, 3385, 開冰箱, 餓了
pet_12203, 3380, 餐具, 吃東西
pet_11459, 3380, 悠遊卡, 坐公車
pet_15482, 3380, 悠遊卡, 坐公車
pet_15579, 3392, 大家, 傷心
pet_7914, 3392, 大家, 傷心
pet_14568, 3412, 逛街, 找朋友
pet_14818, 3389, 睡覺, 傷心
pet_15396, 3378, 玉山, 台灣
pet_9439, 3384, 女人, 哭
pet_15313, 3380, 安全帽, 騎機車
pet_15035, 3399, 愛情, 美麗
pet_15417, 3380, 拖把, 掃地
pet_8382, 3380, 拖把, 掃地
pet_15504, 3354, 運動, 熱血
pet_8382, 3354, 運動, 熱血
pet_15551, 3353, 肚子餓, 煮東西吃
pet_15508, 3366, 書, 白紙
pet_556, 3366, 書, 白紙
pet_15539, 3360, 看新聞, 開電視
pet_15547, 3360, 看新聞, 開電視
pet_15049, 3360, 買便當, 看菜單
pet_12279, 3360, 買便當, 看菜單
pet_15429, 3360, 買飲料, 付錢
pet_8486, 3360, 買飲料, 付錢
pet_7391, 3380, 音樂, 憂鬱
pet_7391, 3380, 朋友, 憂鬱
pet_15035, 3380, 電動, 打電動
pet_15551, 3358, 白目, 家暴
pet_8538, 3358, 白目, 家暴
pet_15465, 3356, 想吃飯, 吃飯
pet_10686, 3412, 出門, 打扮
pet_2981, 3412, 出門, 打扮
pet_2981, 3412, 出門, 換衣服
pet_10320, 3360, 念書, 靜心
pet_5264, 3360, 念書, 靜心
pet_15061, 3378, 麵包, 便利商店
pet_14506, 3409, 紅色, 警告
pet_6062, 3388, 不說話, 思考
pet_14952, 3380, 伴唱機, 唱歌
pet_12822, 3377, 漁船, 港口
pet_15503, 3358, 爭吵, 衝突
pet_11557, 3358, 爭吵, 衝突
pet_15486, 3380, 水, 打球
pet_2856, 3380, 水, 打球
pet_15586, 3365, 手, 肉體
pet_15504, 3353, 夜唱, 狂歡
pet_12047, 3353, 夜唱, 狂歡
pet_8344, 3380, 暴力, 打球
pet_15486, 3380, 水龍頭, 喝水
pet_15417, 3365, 羽球, 競賽
pet_229, 3365, 羽球, 競賽
pet_15417, 3365, 羽球, 運動
pet_229, 3365, 羽球, 運動
pet_15417, 3365, 桌球, 運動
pet_14568, 3365, 桌球, 運動
pet_5459, 3365, 桌球, 運動
pet_229, 3365, 桌球, 運動
pet_15417, 3365, 桌球, 比賽
pet_229, 3365, 桌球, 比賽
pet_1861, 3365, 羽球, 球類運動
pet_8857, 3365, 羽球, 球類運動
pet_1861, 3365, 羽球, 運動項目
pet_8857, 3365, 羽球, 運動項目
pet_15142, 3365, 籃球, 球類運動
pet_99, 3365, 籃球, 球類運動
pet_7312, 3415, 上廁所, 照鏡子
pet_386, 3354, 微笑, 快樂
pet_14568, 3388, 刷卡, 買東西
pet_8850, 3380, 眼睛, 打球
pet_14476, 3353, 下班後, 逛街
pet_15658, 3380, 網路, 下載
pet_15190, 3415, 上廁所, 洗手
pet_15190, 3415, 上廁所, 照鏡子
pet_15417, 3395, 老師, 不乖的學生
pet_15061, 3378, 泡麵, 便利商店
pet_9005, 3378, 泡麵, 便利商店
pet_1652, 3388, 看書, 聽音樂
pet_10922, 3365, 音樂, 藝術
pet_8928, 3399, 彩虹, 紅的
pet_15638, 3380, 錢, 吃大餐
pet_7167, 3380, 筷子, 吃大餐
