pet_6164, 3366, 龜頭, 烏龜
pet_18, 3392, 人, 被欺騙
pet_18, 3384, 世界末日, 地震
pet_18, 3384, 板塊擠壓, 地震
pet_18, 3354, 睡過頭, 緊張
pet_18, 3354, 睡過頭, 尖叫
pet_18, 3354, 尿急, 快跑
pet_18, 3373, 鞦韆, 樹
pet_18, 3373, 長椅, 樹
pet_18, 3354, 大哭, 釋懷
pet_18, 3354, 大哭, 眼睛腫
pet_18, 3390, 巫婆, 糖果
pet_18, 3371, 乘客, 船
pet_15035, 3371, 樹, 公園
pet_18, 3371, 水池, 公園
pet_7338, 3378, 草地, 公園
pet_7, 3354, 掉頭髮, 很焦慮
pet_7, 3354, 掉頭髮, 買生髮水
pet_7, 3377, 籃球場, 學校
pet_13302, 3377, 朋友, 學校
pet_11760, 3409, 大笑, 開心
pet_1, 3377, 快樂, 遊樂園
pet_9, 3378, 情侶, 圖書館
pet_9, 3383, 喬丹, 灌籃
pet_1, 3354, 掉頭髮, 生氣
pet_3362, 3377, 衛生紙, 廁所
pet_14266, 3377, 衛生紙, 廁所
pet_14228, 3377, 衛生紙, 廁所
pet_13925, 3377, 衛生紙, 廁所
pet_10099, 3377, 衛生紙, 浴室
pet_9, 3383, 飛機駕駛員, 開飛機
pet_9, 3357, 做壞事, 牢獄之災
pet_1, 3357, 吃太多, 飽足感
pet_14548, 3380, 鉛筆, 考試
pet_13544, 3380, 鉛筆, 畫畫
pet_20, 3353, 廣告, 買東西
pet_20, 3353, 怪物, 大叫
pet_21, 3355, 土石流, 淹沒村莊
pet_15417, 3380, 衛生紙, 上廁所
pet_15417, 3380, 衛生紙, 上廁所
pet_15341, 3380, 衛生紙, 上廁所
pet_14505, 3380, 衛生紙, 上廁所
pet_14809, 3380, 衛生紙, 上廁所
pet_12116, 3380, 衛生紙, 上廁所
pet_19, 3412, 想哭, 不好意思
pet_22, 3404, 有火災, 有消防車
pet_15729, 3380, 衛生紙, 大便
pet_15341, 3380, 衛生紙, 大便
pet_14574, 3380, 衛生紙, 大便
pet_15312, 3380, 蛙鏡, 游泳
pet_7167, 3375, 工廠, 住宅區
pet_4762, 3390, 貓, 叫
pet_21, 3356, 說謊, 難過
pet_21, 3375, 餐廳, 學校
pet_22, 3404, 有小偷, 有警笛聲
pet_21, 3358, 生氣, 肚子痛
pet_12794, 3370, 狗, 動物
pet_15677, 3370, 椅子, 家具
pet_12203, 3370, 椅子, 家具
pet_15320, 3370, 椅子, 家具
pet_14488, 3370, 椅子, 家具
pet_21, 3393, 人, 肚子餓
pet_22, 3412, 想比比, 肚子痛
pet_22, 3391, 公務員, 領薪水
pet_19, 3412, 想哭, 流眼淚
pet_30, 3388, 想辦法專心, 讀書
pet_15353, 3357, 地震, 災難
pet_30, 3365, 車子, 大眾傳輸
pet_29, 3357, 唸書, 學問
pet_30, 3357, 貧窮, 動亂
pet_2384, 3357, 唸書, 知識
pet_15681, 3354, 吃飯, 快樂
pet_15018, 3354, 吃飯, 快樂
pet_15205, 3354, 吃飯, 快樂
pet_15384, 3354, 吃飯, 快樂
pet_32, 3355, 下雨, 跌倒
pet_33, 3409, 瞪眼, 生氣
pet_36, 3392, 大便, 米田共
pet_13038, 3354, 工作, 疲勞
pet_37, 3409, 購物, 消費
pet_37, 3360, 看電影, 到電影院
pet_37, 3384, 巧克力, 使人開心
pet_15670, 3360, 洗澡, 脫衣服
pet_3362, 3360, 洗澡, 脫衣服
pet_15677, 3360, 洗澡, 脫衣服
pet_11459, 3360, 洗澡, 脫衣服
pet_15417, 3360, 洗澡, 脫衣服
pet_15417, 3360, 洗澡, 脫衣服
pet_15512, 3360, 洗澡, 脫衣服
pet_15286, 3360, 洗澡, 脫衣服
pet_15341, 3360, 洗澡, 脫衣服
pet_14266, 3360, 洗澡, 脫衣服
pet_15049, 3360, 洗澡, 脫衣服
pet_15049, 3360, 洗澡, 脫衣服
pet_15271, 3360, 洗澡, 脫衣服
pet_14562, 3360, 洗澡, 脫衣服
pet_11803, 3354, 上課, 睡著
pet_11803, 3354, 上課, 睡著
pet_37, 3404, 收租, 有人來敲門
pet_44, 3409, 摸頭, 撒嬌
pet_45, 3409, 摸頭, 關心
pet_38, 3383, 熊熊, 玩
pet_44, 3383, 小馬, 喝奶
pet_13189, 3384, 魚, 游泳
pet_46, 3409, 打哈欠, 無聊
pet_15313, 3384, 人, 吃飯
pet_21, 3355, 流汗, 感冒
pet_21, 3357, 打棒球, 快樂
pet_14568, 3378, 老師, 學校
pet_14397, 3378, 老師, 學校
pet_13722, 3378, 老師, 學校
pet_14391, 3378, 老師, 學校
pet_12998, 3378, 老師, 學校
pet_21, 3391, 冰箱, 電
pet_2747, 3377, 書, 書櫃
pet_21, 3386, 慶生, 拿禮物
pet_891, 3391, 學生, 下課
pet_47, 3378, 大老二, 遊戲場
pet_49, 3378, 娃娃機, 遊戲場
pet_49, 3378, 跳舞機, 遊戲場
pet_48, 3357, 熬夜, 愛睏
pet_48, 3357, 熬夜, 壞脾氣
pet_50, 3357, 下棋, 賺錢
pet_51, 3378, 美工刀, 鉛筆盒
pet_51, 3383, 看家, 玩電腦
pet_51, 3383, 看家, 看小說
pet_51, 3383, 看家, 逛PTT
pet_52, 3378, 彩虹筆, 鉛筆盒
pet_51, 3391, 電腦, 玩遊戲
pet_51, 3391, 電腦, 上網
pet_51, 3391, 電腦, 查資料
pet_51, 3391, 電腦, 踩地雷
pet_53, 3357, 拉小提琴, 快樂
pet_53, 3357, 拉小提琴, 悲傷
pet_53, 3357, 拉小提琴, 憂鬱
pet_53, 3357, 拉小提琴, 爽快
pet_53, 3391, 姐姐, 禮物
pet_53, 3391, 姐姐, 名牌
pet_53, 3391, 姐姐, 帥哥
pet_52, 3391, 電腦, 關機
pet_11282, 3377, 牛奶, 冰箱
pet_54, 3391, 妹妹, 玩具
pet_54, 3391, 妹妹, 媽媽的愛
pet_11513, 3377, 衣服, 衣櫥
pet_55, 3378, 館長, 圖書館
pet_54, 3357, 玩電腦, 熬夜
pet_54, 3357, 玩電腦, 沒讀書
pet_54, 3357, 玩電腦, 荒廢課業
pet_54, 3357, 失戀, 低潮
pet_54, 3357, 考差, 低潮
pet_54, 3357, 被劈腿, 低潮
pet_54, 3357, 被朋友背叛, 低潮
pet_54, 3404, 該運動了, 空虛
pet_54, 3391, 小妹, 糖果
pet_54, 3391, 小妹, 玩具
pet_54, 3393, 貪官, 下台
pet_54, 3393, 陳水扁, 下台
pet_14445, 3377, 鞋子, 鞋櫃
pet_4155, 3377, 鞋子, 鞋櫃
pet_54, 3377, 皮鞋, 鞋櫃
pet_54, 3377, 涼鞋, 鞋櫃
pet_13120, 3383, 睡覺, 夢遊
pet_12765, 3383, 睡覺, 夢遊
pet_42, 3380, 電機, 打電腦
pet_15694, 3415, 假日, 睡覺
pet_54, 3415, 假日, 耍冗
pet_54, 3393, 泛綠, 紅衫軍
pet_56, 3393, 犯罪, 被告
pet_56, 3404, 謊言, 一切
pet_56, 3404, 失落, 一切
pet_57, 3391, 日本人, 電車男
pet_39, 3404, 金錢, 萬能
pet_15690, 3370, 電腦, 電器
pet_15651, 3370, 電腦, 電器
pet_58, 3356, 小便, 舒暢
pet_34, 3391, 小孩子, 運動
pet_34, 3391, 大人, 運動
pet_34, 3391, 男人, 運動
pet_34, 3391, 女人, 運動
pet_57, 3409, 家人, 一切
pet_57, 3409, 家人, 最好的依靠
pet_61, 3390, 小雞, 跳舞
pet_38, 3354, 吃冰, 涼快
pet_38, 3354, 吹電扇, 涼快
pet_38, 3354, 開冷氣, 涼快
pet_38, 3354, 喝冰水, 涼快
pet_62, 3354, 睡覺, 漂亮
pet_38, 3354, 防曬, 變白
pet_38, 3354, 吃薏仁, 變白
pet_38, 3354, 美白霜, 變白
pet_15577, 3354, 讀書, 聰明
pet_38, 3354, 背書, 聰明
pet_54, 3354, 撐洋傘, 變白
pet_54, 3354, 擦防曬乳, 變白
pet_54, 3354, 美白, 變白
pet_54, 3386, 吃東西, 滿足口感
pet_54, 3386, 吃東西, 消除飢餓
pet_64, 3360, 打電話, 接電話
pet_15662, 3385, 吃飯, 餓了
pet_15018, 3385, 吃飯, 餓了
pet_14269, 3385, 吃飯, 餓了
pet_64, 3360, 生孩子, 分娩
pet_54, 3360, 結婚, 吃喜酒
pet_6476, 3360, 結婚, 訂婚
pet_54, 3360, 結婚, 家長見面
pet_54, 3360, 結婚, 喝交杯酒
pet_15023, 3393, 學生, 老師
pet_14269, 3393, 學生, 老師
pet_13731, 3393, 學生, 老師
pet_54, 3393, 中學生, 老師
pet_44, 3385, 會餓, 肚子餓
pet_44, 3385, 會餓, 想吃飯
pet_54, 3390, 正妹, 車子
pet_54, 3390, 正妹, 房子
pet_54, 3386, 小雞, 玩樂
pet_39, 3370, 灌水, 樂趣
pet_39, 3370, 灌水, 責任
pet_39, 3370, 灌水, 娛樂
pet_39, 3370, 灌水, 技能
pet_54, 3370, 灌水, 聊天
pet_54, 3370, 灌水, 賺錢方法
pet_54, 3370, 灌水, 交友方法
pet_39, 3386, 主人, 權位
pet_39, 3386, 主人, 利益
pet_39, 3386, 主人, 興趣
pet_39, 3386, 主人, 責任
pet_39, 3386, 主人, 愛心
pet_21, 3391, 粉絲, 聽演唱會
pet_21, 3391, 歌迷, 聽演唱會
pet_21, 3391, 星爸, 聽演唱會
pet_21, 3391, 星媽, 聽演唱會
pet_71, 3409, 愛, 幸福
pet_71, 3409, 愛, 快樂
pet_71, 3409, 愛, 平安
pet_71, 3409, 愛, 勇氣
pet_54, 3390, 小花, 陽光
pet_54, 3390, 小雞, 常識問答
pet_54, 3390, 小雞, 猜拳
pet_54, 3409, 問號, 不懂
pet_54, 3409, 問號, 問題
pet_54, 3409, 問號, 沒有頭緒
pet_54, 3412, 肚子餓時, 找東西吃
pet_54, 3412, 肚子餓時, 吃宵夜
pet_72, 3390, 平安, 安全
pet_72, 3390, 平安, 家
pet_72, 3390, 平安, 過年
pet_54, 3390, 愛, 捉迷藏
pet_54, 3390, 愛, 短暫出現
pet_54, 3393, 鐵槌, 烏龜
pet_15677, 3370, 桌子, 家具
pet_99, 3370, 桌子, 家具
pet_9176, 3370, 桌子, 家具
pet_54, 3370, 桌子, 擺設物品
pet_21, 3412, 車禍, 跳車
pet_21, 3393, 宅男, 被戰
pet_15670, 3392, 老師, 壞學生
pet_15651, 3392, 老師, 壞學生
pet_14573, 3392, 老師, 壞學生
pet_7845, 3392, 老師, 壞學生
pet_15214, 3392, 老師, 壞學生
pet_342, 3392, 老師, 壞學生
pet_14867, 3392, 老師, 壞學生
pet_14562, 3392, 老師, 壞學生
pet_14282, 3392, 老師, 壞學生
pet_14590, 3392, 老師, 壞學生
pet_7567, 3357, 暗戀, 痛苦
pet_76, 3357, 單戀, 悲傷
pet_76, 3357, 單戀, 苦戀
pet_76, 3357, 單戀, 好人
pet_75, 3357, 愛情, 新生命
pet_77, 3393, 警察, 歹徒
pet_14478, 3357, 運動, 快樂
pet_9402, 3357, 運動, 快樂
pet_77, 3357, 運動, 豔遇
pet_77, 3357, 運動, 好運
pet_77, 3370, 玫瑰花, 欣賞花
pet_77, 3370, 玫瑰花, 商品
pet_77, 3370, 玫瑰花, 象徵
pet_77, 3393, 青草, 綿羊
pet_77, 3383, 狗, 抓貓
pet_77, 3383, 狗, 當朋友
pet_77, 3383, 狗, 打獵
pet_77, 3370, 舒跑, 商品
pet_77, 3383, 貓, 抓貓砂
pet_9670, 3383, 貓, 撒嬌
pet_9670, 3383, 貓, 撒嬌
pet_5773, 3383, 貓, 撒嬌
pet_15785, 3383, 貓, 抓老鼠
pet_4440, 3383, 貓, 抓老鼠
pet_14866, 3383, 貓, 抓老鼠
pet_14638, 3383, 貓, 抓老鼠
pet_78, 3393, 警察, 法官
pet_78, 3393, 警察, 長官
pet_78, 3393, 警察, 調查局
pet_64, 3357, 過度疲勞, 吃藥
pet_64, 3357, 訓練攻擊力, 打人
pet_79, 3360, 燒開水, 拿水壺裝水
pet_79, 3360, 燒開水, 打開水龍頭
pet_79, 3360, 燒開水, 找出水壺
pet_79, 3386, 聽音樂, 舒解壓力
pet_79, 3386, 聽音樂, 尋找共鳴
pet_79, 3386, 聽音樂, 調整自己
pet_79, 3386, 聽音樂, 想唱歌
pet_79, 3386, 吃飯, 不要餓肚子
pet_12954, 3386, 吃飯, 吃飽
pet_12224, 3386, 吃飯, 吃飽
pet_79, 3386, 吃飯, 吃好吃的美味
pet_13935, 3386, 吃飯, 長大
pet_80, 3392, 上班族, 憂鬱症
pet_80, 3357, 過重, 運動
pet_80, 3357, 失戀, 運動
pet_80, 3357, 沉悶, 運動
pet_80, 3392, 女生, 零分
pet_80, 3392, 女生, 經痛
pet_80, 3392, 女生, 帳單
pet_80, 3392, 女生, 頭蝨
pet_80, 3395, 買東西, 沒錢
pet_80, 3395, 口渴, 沒錢
pet_80, 3395, 生病, 沒錢
pet_82, 3392, 父母, 壓力
pet_7995, 3392, 父母, 小孩
pet_82, 3392, 父母, 生氣
