pet_16021, 3380, 枕頭, 睡覺
pet_15722, 3380, 叉子, 吃飯
pet_15851, 3387, 賺錢, 錢
pet_15773, 3387, 努力, 錢
pet_15872, 3353, 上課, 睡覺
pet_16104, 3360, 吃飯, 拿筷子
pet_16033, 3360, 吃飯, 拿筷子
pet_15872, 3360, 吃飯, 拿筷子
pet_16036, 3385, 吃飯, 餓了
pet_15881, 3385, 喝水, 口渴
pet_16109, 3385, 喝水, 口渴
pet_15841, 3389, 睡覺, 無聊
pet_12354, 3389, 睡覺, 無聊
pet_15145, 3389, 睡覺, 無聊
pet_15773, 3388, 煮飯, 吃飯
pet_15947, 3389, 吃東西, 肚子餓
pet_15872, 3383, 貓, 睡覺
pet_15872, 3389, 唱歌, 開心
pet_15926, 3389, 唱歌, 開心
pet_15974, 3389, 唱歌, 開心
pet_15669, 3389, 打人, 生氣
pet_15829, 3378, 猴子, 動物園
pet_15843, 3378, 猴子, 動物園
pet_15843, 3378, 猴子, 動物園
pet_15785, 3412, 肚子餓, 吃飯
pet_15785, 3412, 肚子餓, 吃飯
pet_15834, 3412, 肚子餓, 吃飯
pet_15049, 3412, 肚子餓, 吃飯
pet_15687, 3392, 學生, 考試
pet_16116, 3380, 手, 吃飯
pet_4783, 3380, 手, 吃飯
pet_16016, 3409, 藍色, 憂鬱
pet_15696, 3383, 人, 吃飯
pet_15840, 3366, 椅子, 木頭
pet_15669, 3356, 肚子餓, 吃飯
pet_15810, 3395, 學生, 老師
pet_14402, 3380, 電腦, 上網
pet_12073, 3380, 電腦, 上網
pet_1764, 3389, 喝水, 口渴
pet_14987, 3380, 遙控器, 看電視
pet_16033, 3389, 休息, 累
pet_16069, 3389, 休息, 累
pet_16088, 3389, 休息, 累
pet_15722, 3389, 休息, 累
pet_15722, 3389, 休息, 累
pet_15387, 3389, 休息, 累
pet_12730, 3353, 天氣熱, 游泳
pet_13353, 3389, 睡覺, 上課
pet_16109, 3388, 睡覺, 休息
pet_16021, 3380, 眼罩, 睡覺
pet_4429, 3384, 手機, 響
pet_14987, 3384, 手機, 響
pet_15893, 3384, 手機, 響
pet_15881, 3393, 大象, 老鼠
pet_15898, 3389, 哭, 難過
pet_16019, 3353, 天氣熱, 脫衣服
pet_15962, 3366, 桌子, 塑膠
pet_15851, 3366, 桌子, 塑膠
pet_15946, 3366, 桌子, 塑膠
pet_15722, 3384, 狗, 叫
pet_15840, 3389, 睡覺, 生病
pet_15840, 3389, 睡覺, 生病
pet_16058, 3378, 企鵝, 動物園
pet_15843, 3378, 企鵝, 動物園
pet_15974, 3370, 鳳梨, 水果
pet_15851, 3387, 打工, 錢
pet_15773, 3387, 打工, 錢
pet_15696, 3393, 學生, 老師
pet_16116, 3380, 嘴巴, 吃飯
pet_15722, 3380, 馬桶, 大便
pet_15898, 3380, 馬桶, 大便
pet_15898, 3380, 馬桶, 大便
pet_15881, 3380, 馬桶, 大便
pet_15773, 3380, 馬桶, 大便
pet_15773, 3380, 馬桶, 大便
pet_16021, 3386, 賺錢, 養家
pet_2079, 3353, 生氣, 打人
pet_15841, 3353, 生氣, 打人
pet_15773, 3353, 生氣, 打人
pet_3362, 3385, 哭, 難過
pet_16133, 3354, 吃飯, 飽
pet_15785, 3391, 老師, 教書
pet_15946, 3391, 老師, 教書
pet_15898, 3391, 老師, 教書
pet_15881, 3386, 運動, 健康
pet_4238, 3386, 運動, 健康
pet_16109, 3360, 洗澡, 放熱水
pet_15681, 3383, 狗, 看家
pet_15785, 3412, 吃飯, 看電視
pet_15985, 3412, 吃飯, 看電視
pet_14658, 3383, 學生, 讀書
pet_15851, 3360, 睡覺, 蓋被子
pet_15840, 3366, 椅子, 塑膠
pet_15696, 3383, 人, 睡覺
pet_15773, 3383, 人, 睡覺
pet_15762, 3386, 休息, 走更長遠的路
pet_15872, 3385, 吃飯, 嘴饞
pet_16033, 3380, 洗面乳, 洗澡
pet_15785, 3391, 學生, 放假
pet_15843, 3391, 學生, 放假
pet_15773, 3388, 關燈, 睡覺
pet_16001, 3356, 無聊, 看電視
pet_15851, 3360, 睡覺, 閉眼睛
pet_16167, 3370, 草莓, 水果
pet_15974, 3370, 草莓, 水果
pet_16021, 3366, 蛋糕, 麵粉
pet_4206, 3360, 睡覺, 蓋棉被
pet_15829, 3415, 情人節, 吃大餐
pet_15810, 3389, 睡覺, 看書
pet_16033, 3386, 工作, 養家
pet_14568, 3386, 讀書, 賺錢
pet_15881, 3380, 筆, 寫字
pet_15881, 3380, 筆, 寫字
pet_16021, 3412, 睡覺, 蓋被子
pet_16104, 3360, 吃飯, 拿碗
pet_15872, 3360, 吃飯, 拿碗
pet_15172, 3386, 睡覺, 補充體力
pet_16021, 3415, 中秋節, 吃月餅
pet_15937, 3360, 煮飯, 洗米
pet_15981, 3360, 煮飯, 洗米
pet_15962, 3366, 桌子, 鐵
pet_15946, 3366, 桌子, 鐵
pet_15872, 3353, 讀書, 睡覺
pet_13641, 3389, 大便, 肚子痛
pet_5425, 3389, 大便, 肚子痛
pet_15881, 3415, 家裡, 看電視
pet_15840, 3415, 家裡, 看電視
pet_15840, 3415, 家裡, 看電視
pet_14658, 3393, 老鼠, 貓咪
pet_14568, 3386, 讀書, 考試
pet_16033, 3380, 課本, 上課
pet_16084, 3380, 課本, 上課
pet_15662, 3386, 賺錢, 生活
pet_16021, 3386, 賺錢, 生活
pet_15893, 3386, 賺錢, 生活
pet_15856, 3387, 買樂透, 錢
pet_15841, 3389, 吃飯, 無聊
pet_9045, 3389, 吃飯, 無聊
pet_11904, 3389, 吃飯, 無聊
pet_11796, 3389, 吃飯, 無聊
pet_4770, 3389, 吃飯, 無聊
pet_15898, 3354, 吃飯, 變胖
pet_15785, 3412, 肚子餓, 吃東西
pet_15785, 3412, 肚子餓, 吃東西
pet_16033, 3360, 吃飯, 盛飯
pet_15872, 3360, 吃飯, 盛飯
pet_15985, 3385, 睡覺, 無聊
pet_15962, 3353, 肚子痛, 上廁所
pet_13441, 3389, 睡覺, 吃飽
pet_11262, 3389, 睡覺, 吃飽
pet_11225, 3389, 睡覺, 吃飽
pet_15662, 3409, 白色, 純潔
pet_15872, 3389, 跳舞, 開心
pet_15926, 3389, 跳舞, 開心
pet_15881, 3415, 家裡, 睡覺
pet_15840, 3415, 家裡, 睡覺
pet_15840, 3415, 家裡, 睡覺
pet_2747, 3385, 睡覺, 想睡
pet_15943, 3389, 睡覺, 很累
pet_13675, 3389, 睡覺, 很累
pet_16033, 3415, 生日, 吹蠟燭
pet_15785, 3378, 教室, 學校
pet_16019, 3353, 天氣熱, 喝飲料
pet_15881, 3380, 馬桶, 上廁所
pet_15810, 3395, 學生, 上課
pet_15841, 3395, 老師, 壞學生
pet_14987, 3384, 手機, 震動
pet_15893, 3384, 手機, 震動
pet_16033, 3380, 蓮蓬頭, 洗澡
pet_15872, 3389, 大笑, 開心
pet_16021, 3415, 中秋節, 烤肉
pet_15898, 3353, 生病, 睡覺
pet_15950, 3353, 生病, 睡覺
pet_14568, 3415, 情人節, 約會
pet_14568, 3415, 情人節, 約會
pet_15829, 3415, 情人節, 約會
pet_15962, 3353, 肚子痛, 大便
pet_3647, 3380, 筆, 考試
pet_13387, 3380, 筆, 考試
pet_16033, 3386, 工作, 生活
pet_5870, 3386, 工作, 生活
pet_15893, 3412, 生病, 吃藥
pet_15899, 3412, 開心, 笑
pet_16021, 3412, 開心, 笑
pet_15645, 3380, 電腦, 無聊
pet_15762, 3354, 無聊, 睡著
pet_16155, 3385, 睡覺, 想睡覺
pet_15706, 3378, 動物, 動物園
pet_15843, 3378, 動物, 動物園
pet_15898, 3380, 水, 大便
pet_15898, 3380, 水, 大便
pet_15881, 3380, 水, 大便
pet_15773, 3380, 水, 大便
pet_15773, 3380, 水, 大便
pet_16033, 3415, 生日, 許願
pet_11449, 3380, 杯子, 喝飲料
pet_864, 3366, 房子, 水泥
pet_15881, 3386, 運動, 減肥
pet_15696, 3393, 學生, 考試
pet_16033, 3380, 香皂, 洗澡
pet_7179, 3388, 開電腦, 聽音樂
pet_16033, 3380, 浴巾, 洗澡
pet_16058, 3378, 無尾熊, 動物園
pet_15705, 3384, 貓, 叫
pet_15872, 3383, 貓, 吃飯
pet_15837, 3412, 睡覺, 閉眼睛
pet_16025, 3412, 睡覺, 閉眼睛
pet_864, 3366, 房子, 木頭
pet_16058, 3356, 開心, 快樂
pet_15840, 3377, 黑板, 教室
pet_15840, 3366, 椅子, 鐵
pet_16109, 3354, 失戀, 難過
pet_3298, 3393, 小叮噹, 老鼠
pet_15810, 3393, 小叮噹, 老鼠
pet_16033, 3415, 生日, 慶祝
pet_15662, 3366, 球棒, 木頭
pet_2762, 3380, 電腦, 查資料
pet_15843, 3391, 老師, 放假
pet_15792, 3391, 老師, 放假
pet_14282, 3370, 貓, 動物
pet_16094, 3393, 老鼠, 人
pet_15841, 3393, 老鼠, 人
pet_15914, 3388, 開音響, 聽音樂
pet_11796, 3389, 洗澡, 流汗
pet_15883, 3380, 鉛筆, 考試
pet_15754, 3387, 運動, 好身材
pet_15356, 3386, 打工, 賺錢
pet_13815, 3386, 打工, 賺錢
pet_14220, 3389, 睡覺, 疲勞
pet_10686, 3389, 睡覺, 疲勞
pet_15785, 3378, 操場, 學校
pet_15645, 3365, 眼睛, 頭
pet_15662, 3357, 颱風, 災難
pet_15785, 3391, 老師, 上課
pet_15946, 3391, 老師, 上課
pet_15706, 3378, 熊貓, 動物園
pet_16033, 3387, 努力賺錢, 錢
pet_15662, 3357, 地震, 災難
pet_15662, 3357, 地震, 災難
pet_15985, 3412, 吃飯, 喝湯
pet_11834, 3389, 唱歌, 無聊
pet_16021, 3415, 中秋節, 賞月
pet_16021, 3412, 洗澡, 唱歌
pet_16168, 3390, 男人, 女人
pet_15773, 3415, 床上, 睡覺
pet_15773, 3415, 床上, 睡覺
pet_15810, 3353, 看電視, 睡覺
pet_13247, 3391, 老師, 好學生
pet_15898, 3391, 老師, 好學生
pet_15785, 3388, 買飯, 吃飯
pet_15785, 3388, 買飯, 吃飯
pet_15773, 3388, 買飯, 吃飯
pet_14805, 3388, 買飯, 吃飯
pet_15091, 3388, 開電腦, 上網
pet_12498, 3365, 腳趾, 腳
pet_15974, 3415, 端午節, 吃粽子
pet_16021, 3415, 端午節, 吃粽子
pet_11459, 3412, 餓, 吃飯
pet_14987, 3395, 上班族, 加班
pet_15872, 3383, 學生, 唸書
pet_15974, 3370, 水蜜桃, 水果
pet_4663, 3385, 吃東西, 肚子餓
pet_15662, 3366, 球棒, 鋁
pet_13925, 3380, 筆, 上課
pet_15145, 3389, 發呆, 無聊
pet_15950, 3358, 感冒, 發燒
pet_15950, 3358, 感冒, 發燒
pet_15881, 3380, 叉子, 吃牛排
pet_16042, 3412, 無聊, 上網
pet_14866, 3389, 睡覺, 晚上
pet_12116, 3389, 睡覺, 晚上
pet_16033, 3387, 存錢, 錢
pet_14282, 3370, 狗, 動物
pet_28, 3380, 衛生紙, 吃飯
pet_15840, 3377, 學生, 教室
pet_16126, 3393, 老鼠, 老鼠藥
pet_15985, 3386, 讀書, 自己
pet_16109, 3353, 開心, 唱歌
pet_15840, 3389, 休息, 生病
pet_15840, 3389, 休息, 生病
pet_14266, 3389, 休息, 生病
pet_15950, 3353, 吃飽, 睡覺
pet_16126, 3380, 吸管, 喝水
pet_15290, 3389, 吃飯, 中午
pet_7167, 3356, 愛, 快樂
pet_12446, 3389, 上廁所, 肚子痛
pet_15829, 3390, 小狗, 主人
pet_11780, 3380, 電腦, 聊天
pet_15881, 3353, 肚子痛, 吃藥
pet_16126, 3393, 老鼠, 人類
pet_15914, 3380, 腳, 跑步
pet_15872, 3389, 笑, 開心
pet_15881, 3380, 水, 上廁所
pet_16033, 3353, 吃飯, 睡覺
pet_16084, 3357, 拜拜, 好運
pet_16029, 3357, 拜拜, 好運
pet_15851, 3357, 拜拜, 好運
pet_16133, 3354, 吃飯, 想睡覺
pet_16033, 3353, 累, 睡覺
pet_16092, 3356, 肚子餓, 吃東西
pet_15881, 3357, 工作, 金錢
pet_15840, 3389, 看醫生, 生病
pet_15914, 3393, 老公, 老婆
pet_15881, 3353, 肚子餓, 生氣
pet_15851, 3353, 肚子餓, 生氣
pet_15992, 3380, 眼睛, 看電視
pet_14987, 3380, 眼睛, 看電視
pet_12848, 3387, 睡覺, 精神
pet_14302, 3387, 吃飯, 體力
pet_15872, 3356, 運動, 流汗
pet_14834, 3385, 打人, 生氣
pet_16033, 3356, 開心, 唱歌
pet_16033, 3354, 讀書, 變聰明
pet_16074, 3360, 刷牙, 擠牙膏
pet_15852, 3353, 天氣熱, 洗澡
pet_15810, 3395, 學生, 被當
pet_15773, 3353, 生氣, 罵人
pet_16084, 3384, 老師, 教書
pet_15881, 3384, 老師, 教書
pet_15837, 3384, 老師, 教書
pet_15962, 3366, 桌子, 木材
pet_15662, 3409, 綠色, 環保
pet_15829, 3378, 斑馬, 動物園
pet_16058, 3378, 斑馬, 動物園
pet_16045, 3370, 蓮霧, 水果
pet_15841, 3393, 老鼠, 狗
pet_16045, 3370, 橘子, 水果
pet_15843, 3378, 河馬, 動物園
pet_16033, 3380, 沐浴球, 洗澡
pet_15773, 3415, 廁所, 大便
pet_15669, 3389, 罵人, 生氣
pet_15840, 3415, 學校, 睡覺
pet_15840, 3377, 粉筆, 教室
pet_15840, 3415, 家裡, 吃飯
pet_15840, 3415, 家裡, 吃飯
pet_15773, 3415, 廁所, 洗手
pet_15773, 3415, 廁所, 洗手
pet_15773, 3415, 廁所, 洗手
pet_15773, 3415, 廁所, 洗手
pet_15773, 3415, 廁所, 洗手
pet_15810, 3378, 醫生, 醫院
pet_16139, 3383, 狗, 看門
pet_15957, 3387, 用功, 好成績
pet_16109, 3354, 讀書, 想睡覺
pet_15872, 3354, 讀書, 想睡覺
pet_15957, 3389, 吃東西, 無聊
pet_15841, 3389, 玩電腦, 無聊
pet_15840, 3389, 吃藥, 生病
pet_15840, 3389, 吃藥, 生病
pet_9374, 3389, 吃飯, 晚上
pet_15785, 3380, 眼鏡, 看書
pet_15785, 3412, 吃飯, 拿筷子
pet_15773, 3353, 天氣熱, 吹電扇
pet_15851, 3387, 上班, 錢
pet_15840, 3377, 椅子, 教室
pet_15898, 3370, 電腦, 電器
pet_15898, 3370, 電腦, 電器
pet_16091, 3356, 開心, 大笑
pet_16033, 3356, 開心, 大笑
pet_16021, 3386, 唸書, 考試
pet_7167, 3356, 愛, 喜歡
pet_15851, 3366, 桌子, 石頭
pet_15773, 3415, 廁所, 尿尿
pet_15773, 3415, 廁所, 尿尿
pet_15773, 3415, 廁所, 尿尿
pet_15669, 3360, 洗澡, 開瓦斯
pet_15681, 3360, 洗澡, 開瓦斯
pet_15901, 3353, 天氣冷, 穿衣服
pet_14266, 3380, 電腦, 打報告
pet_15950, 3358, 感冒, 流鼻水
pet_6276, 3365, 膝蓋, 腳
pet_15696, 3365, 耳朵, 頭
pet_15901, 3353, 難過, 哭
pet_16029, 3415, 學校, 讀書
pet_15840, 3415, 學校, 讀書
pet_16140, 3353, 累了, 睡覺
pet_16021, 3366, 餅乾, 麵粉
pet_10764, 3389, 睡覺, 熬夜
pet_16069, 3389, 睡, 累
pet_15773, 3387, 努力, 好成績
pet_7642, 3380, 水壺, 喝水
pet_15914, 3353, 肚子餓, 吃火鍋
pet_15700, 3412, 上課, 睡覺
pet_864, 3366, 房子, 鋼筋
pet_16021, 3366, 蛋糕, 雞蛋
pet_3298, 3393, 女生, 老鼠
pet_15837, 3412, 吃飯, 配菜
pet_15785, 3412, 吃飯, 配菜
pet_15773, 3380, 電腦, 聽音樂
pet_12277, 3380, 電腦, 聽音樂
pet_14476, 3368, 果汁, 水果
pet_16058, 3389, 睡覺, 心情不好
pet_15891, 3380, 筆, 畫畫
pet_16109, 3354, 生病, 難過
pet_15974, 3384, 車子, 跑
pet_864, 3366, 房子, 磚塊
pet_14658, 3383, 學生, 睡覺
pet_15852, 3353, 天氣熱, 喝水
pet_15872, 3353, 發呆, 睡覺
pet_12566, 3389, 睡覺, 想睡覺
pet_12513, 3389, 洗澡, 運動完
pet_15705, 3384, 貓, 抓老鼠
pet_16033, 3387, 存錢, 房子
pet_16109, 3360, 洗澡, 拿毛巾
pet_15881, 3367, 電腦, 零件
pet_15893, 3384, 手機, 叫
pet_15670, 3356, 難過, 哭
pet_6856, 3391, 小雞, 吃飯
pet_37, 3386, 讀書, 工作
pet_16109, 3392, 學生, 不及格
pet_16126, 3366, 筷子, 木頭
pet_12382, 3389, 睡覺, 愛睏
pet_41, 3389, 睡覺, 愛睏
pet_7708, 3389, 睡覺, 愛睏
pet_15810, 3395, 學生, 教官
pet_15837, 3412, 吃飯, 夾菜
pet_14568, 3415, 情人節, 送巧克力
pet_14568, 3415, 情人節, 送巧克力
pet_13226, 3389, 洗澡, 髒
pet_13641, 3389, 洗澡, 髒
pet_15662, 3386, 賺錢, 買房子
pet_5870, 3386, 工作, 養家活口
pet_16025, 3412, 看電視, 吃東西
pet_12905, 3389, 休息, 累了
pet_15785, 3391, 老師, 賺錢
pet_16126, 3366, 筷子, 鐵
pet_15974, 3415, 端午節, 划龍舟
pet_15974, 3415, 端午節, 划龍舟
pet_16021, 3415, 端午節, 划龍舟
pet_15837, 3412, 睡覺, 關燈
pet_16001, 3356, 無聊, 打電動
pet_15172, 3383, 貓, 跳
pet_15773, 3360, 看書, 開燈
pet_16077, 3385, 生氣, 肚子餓
pet_15950, 3389, 笑, 高興
pet_15950, 3389, 笑, 高興
pet_16021, 3387, 有錢, 女朋友
pet_15840, 3378, 鍋子, 廚房
pet_15843, 3355, 洗澡, 穿衣服
pet_15172, 3386, 睡覺, 做夢
pet_15662, 3390, 兔子, 紅蘿蔔
pet_16033, 3380, 鉛筆, 上課
pet_16033, 3380, 潤髮乳, 洗澡
pet_15205, 3385, 罵人, 生氣
pet_14048, 3387, 睡覺, 體力
pet_16001, 3355, 運動, 睡覺
pet_15872, 3377, 床, 房間
pet_15851, 3360, 睡覺, 躺下
pet_15950, 3358, 感冒, 咳嗽
pet_15950, 3358, 感冒, 咳嗽
pet_15950, 3358, 感冒, 咳嗽
pet_13376, 3389, 打電腦, 無聊
pet_15773, 3415, 廁所, 小便
pet_15773, 3415, 廁所, 小便
pet_16126, 3412, 難過, 大哭
pet_15670, 3367, 學校, 學生
pet_15840, 3365, 舌頭, 嘴巴
pet_15957, 3387, 認真, 好成績
pet_15670, 3387, 認真, 好成績
pet_15773, 3387, 認真, 好成績
pet_15662, 3393, 狗, 獅子
pet_15662, 3393, 狗, 獅子
pet_15883, 3380, 原子筆, 考試
pet_15662, 3409, 紅色, 警告
pet_15856, 3387, 中樂透, 錢
pet_15974, 3353, 熱, 脫衣服
pet_16058, 3391, 學生, 翹課
pet_15872, 3354, 玩樂, 開心
pet_16033, 3380, 筆記本, 上課
pet_16021, 3415, 清明節, 掃墓
pet_15837, 3415, 國慶日, 唱國歌
pet_16033, 3380, 浴帽, 洗澡
pet_11945, 3412, 無聊, 上PTT
pet_10903, 3366, 輪胎, 橡膠
pet_15785, 3412, 肚子餓, 吃麵
pet_15785, 3412, 肚子餓, 吃麵
pet_15851, 3387, 存起來, 錢
pet_15785, 3380, 筆, 看書
pet_15841, 3383, 牛, 吃草
pet_16021, 3385, 洗澡, 流汗
pet_15662, 3384, 睡覺, 打呼
pet_15773, 3353, 生氣, 睡覺
pet_5949, 3389, 發呆, 累
pet_4238, 3386, 賺錢, 工作
pet_15172, 3383, 貓, 玩
pet_15773, 3357, 結婚, 幸福
pet_15852, 3385, 難過, 失戀
pet_15957, 3415, 聖誕節, 送禮物
pet_15662, 3355, 天氣熱, 吃冰
pet_15670, 3367, 學校, 老師
pet_15851, 3366, 桌子, 大理石
pet_15946, 3366, 桌子, 大理石
pet_15840, 3409, 黑色, 黑暗
pet_13383, 3386, 讀書, 知識
pet_15785, 3388, 買水, 喝水
pet_15843, 3355, 洗澡, 睡覺
pet_4783, 3380, 嘴, 吃飯
pet_15851, 3353, 下雨天, 撐傘
pet_15662, 3409, 紅色, 蘋果
pet_15792, 3391, 老師, 乖學生
pet_13247, 3391, 老師, 乖學生
pet_16058, 3391, 學生, 唸書
pet_15841, 3391, 小雞, 長大
pet_16021, 3386, 結婚, 生小孩
pet_15690, 3360, 泡澡, 放水
pet_3647, 3385, 大便, 肚子痛
pet_15872, 3354, 上課, 想睡覺
pet_15872, 3354, 上課, 想睡覺
pet_16168, 3354, 安眠藥, 睡著
pet_16109, 3353, 開心, 大笑
pet_15810, 3415, 生日, 唱生日快樂歌
pet_16126, 3388, 出門, 吃飯
pet_15914, 3353, 肚子餓, 打人
pet_15819, 3385, 生氣, 不爽
pet_16042, 3353, 考試, 睡覺
pet_6922, 3368, 果汁, 西瓜
pet_15898, 3371, 錢, 錢包
pet_15696, 3371, 錢, 錢包
pet_14987, 3356, 餓了, 吃飯
pet_15810, 3355, 生病, 看醫生
pet_16025, 3412, 看電視, 喝飲料
pet_15881, 3353, 肚子餓, 煮飯
pet_15881, 3353, 肚子餓, 煮飯
pet_11914, 3389, 休息, 疲倦
pet_16033, 3360, 吃飯, 張開嘴巴
pet_16033, 3387, 開源節流, 錢
pet_15810, 3378, 病人, 醫院
pet_15234, 3380, 嘴巴, 喝湯
pet_14987, 3384, 貓咪, 睡覺
pet_15785, 3380, 檯燈, 看書
pet_15851, 3393, 貓, 獅子
pet_15898, 3353, 生病, 休息
pet_15810, 3415, 生日, 收到禮物
pet_15837, 3412, 吃飯, 用筷子
pet_15829, 3390, 小狗, 睡覺
pet_11631, 3412, 失火, 打119
pet_15898, 3389, 唱歌, 難過
pet_15992, 3353, 吃飯, 喝湯
pet_15172, 3383, 貓, 跑
pet_16038, 3353, 無聊, 唱歌
pet_16001, 3356, 累, 想睡覺
pet_15943, 3357, 知識, 財富
pet_15785, 3391, 學生, 下課
pet_4206, 3358, 打架, 受傷
pet_14658, 3360, 泡澡, 脫衣服
pet_15690, 3360, 泡澡, 脫衣服
pet_15840, 3391, 女人, 愛情
pet_15810, 3415, 生日, 慶生
pet_15881, 3367, 電腦, 硬碟
pet_15722, 3366, 電腦, 鐵
pet_15717, 3385, 成功, 努力
pet_16033, 3380, 橡皮擦, 上課
pet_1129, 3388, 唱歌, 聽音樂
pet_12481, 3388, 唱歌, 聽音樂
pet_16033, 3353, 疲倦, 睡覺
pet_14282, 3391, 晚上, 睡覺
pet_15785, 3391, 教授, 教書
pet_15785, 3391, 教授, 教書
pet_16033, 3391, 教授, 教書
pet_15773, 3388, 躺在床上, 睡覺
pet_11971, 3380, 筆, 畫圖
pet_15810, 3355, 生病, 打針
pet_15851, 3353, 下雨天, 睡覺
pet_15843, 3386, 工作, 興趣
pet_15881, 3390, 小雞, 母雞
pet_15670, 3366, 糖果, 糖
pet_4206, 3360, 睡覺, 躺在床上
pet_15662, 3353, 颱風天, 看電視
pet_4206, 3385, 看醫生, 生病
pet_15872, 3354, 上課, 發呆
pet_16153, 3383, 人, 很多
pet_4206, 3360, 睡覺, 穿睡衣
pet_8891, 3389, 吃飯, 約會
pet_15722, 3384, 狗, 搖尾巴
pet_14568, 3404, 肚子餓, 肚子叫
pet_16021, 3380, 床鋪, 睡覺
