pet_14033, 3386, 睡覺, 休息
pet_14266, 3380, 水桶, 打掃
pet_14266, 3380, 抹布, 打掃
pet_10686, 3354, 分手, 傷心
pet_10686, 3354, 分手, 難過
pet_13675, 3358, 感冒, 咳嗽
pet_14033, 3388, 點菜, 吃飯
pet_1646, 3388, 點菜, 吃飯
pet_14397, 3415, 電腦前, 上網
pet_14397, 3415, 電腦前, 上網
pet_13479, 3369, 豆腐, 黃豆
pet_1580, 3388, 喝水, 運動
pet_13270, 3388, 跑步, 運動
pet_3647, 3383, 學生, 上課
pet_14262, 3412, 無聊, 看漫畫
pet_14262, 3412, 無聊, 上網
pet_13387, 3389, 睡覺, 吃太飽
pet_14542, 3378, 課桌椅, 學校
